Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-03-28,4.96875,44.494415283203125,38.0,19.15625,77.875,42.4375,40.38484191894531,,113.25,64.0,122.5,67.84375,36.0,62.83333206176758,22.4375,35.125,44.4375,61.5625,52.15625,4.6015625,35.0625,28.5,30.0,6.921875,28.90625,,54.409027099609375,26.625,54.5,39.5
2000-03-29,4.854910850524902,44.23912048339844,37.875,19.5,76.0625,44.25,40.261531829833984,,114.1875,68.5,119.0,65.9375,35.53125,60.25,23.4375,36.8125,43.8125,64.0,53.59375,4.875,36.375,29.34375,29.9375,6.9609375,28.8125,,55.75801086425781,26.0,58.75,40.25
2000-03-30,4.4910712242126465,43.47323226928711,38.625,20.375,73.625,46.09375,39.706626892089844,,106.875,67.0,122.75,63.5,35.375,58.0,24.28125,37.625,44.5,64.0625,51.6875,4.8359375,36.5,29.0,32.625,7.15625,30.6875,,55.083518981933594,25.125,59.0,39.3125
2000-03-31,4.8504462242126465,43.45499801635742,37.8125,19.71875,77.3125,46.21875,40.6931266784668,,105.25,64.5,118.375,65.96875,35.125,58.125,23.46875,37.375,44.28125,62.125,53.125,4.953125,36.5625,28.375,34.125,7.453125,31.59375,,54.97110366821289,25.75,56.5,39.0
2000-04-03,4.761160850524902,45.36971664428711,37.1875,20.9375,72.9375,46.15625,41.24803161621094,,105.5,68.0,122.0,65.3125,36.125,61.66666793823242,24.65625,38.5,45.9375,66.75,45.4375,5.0,38.0,29.75,34.0,7.7578125,30.9375,,56.71354293823242,25.4375,61.1875,40.25
2000-04-04,4.546875,42.88970184326172,37.3125,21.71875,73.125,44.90625,40.5698127746582,,98.25,64.625,121.1875,66.375,38.375,57.83333206176758,26.1875,38.53125,46.46875,67.6875,44.28125,4.8671875,39.75,31.75,33.0,7.59375,31.59375,,57.331825256347656,26.75,60.0,41.25
2000-04-05,4.65625,42.160282135009766,36.0625,21.21875,72.125,43.75,39.459999084472656,,97.4375,64.0,125.0,64.9375,38.75,57.58333206176758,23.8125,38.5625,45.5625,68.25,43.1875,4.8984375,38.625,30.78125,32.6875,7.5,30.5,,56.825958251953125,26.9375,58.25,39.875
2000-04-06,4.470982074737549,41.13909912109375,36.125,21.15625,71.8125,44.46875,39.89159393310547,,106.0,65.9375,122.75,64.90625,37.4375,58.29166793823242,22.875,37.0,46.6875,65.5625,43.0,5.1953125,38.375,31.375,32.25,7.7109375,30.75,,58.624603271484375,26.5625,61.125,40.875
2000-04-07,4.705357074737549,40.57380294799805,35.6875,20.6875,74.9375,43.21875,40.44649887084961,,102.5,64.125,123.125,68.40625,37.03125,57.58333206176758,23.09375,37.0,45.8125,65.5,44.53125,5.3671875,38.8125,31.71875,31.875,7.71875,30.46875,,58.11873245239258,26.546875,61.5,39.78125
2000-04-10,4.464285850524902,41.777339935302734,35.0625,20.71875,72.5625,43.03125,40.75477981567383,,107.0625,66.6875,122.125,65.5625,38.0,58.75,22.5,36.375,46.375,66.375,43.03125,5.375,39.8125,33.0,32.125,7.984375,32.0,,56.825958251953125,27.25,63.5625,39.125
2000-04-11,4.265625,42.36087417602539,35.6875,21.03125,70.0,44.34375,41.92625045776367,,104.8125,67.375,119.375,65.375,39.125,57.33333206176758,23.59375,37.6875,47.71875,67.3125,41.9375,5.640625,39.8125,33.21875,32.3125,8.1796875,32.125,,57.61286544799805,27.375,63.375,39.6875
2000-04-12,3.9017856121063232,43.98382568359375,37.625,21.71875,65.0,44.5,39.52165603637695,,96.5625,66.0,113.75,60.9375,38.5,57.875,24.25,36.3125,47.3125,64.875,39.6875,5.5546875,40.375,34.65625,32.5,8.484375,32.125,,57.89390182495117,28.25,62.4375,39.96875
2000-04-13,4.064732074737549,42.59793472290039,37.0,21.0,61.125,43.46875,38.720123291015625,,95.25,62.5,110.625,60.5625,38.125,56.33333206176758,23.625,34.125,47.375,65.8125,39.625,5.4921875,39.625,34.75,32.875,8.296875,30.4375,,56.71354293823242,27.875,60.0625,40.0
2000-04-14,3.9955356121063232,39.09673309326172,35.375,20.25,57.0,42.84375,38.350189208984375,,82.75,60.25,105.0,55.25,36.65625,52.58333206176758,23.5,33.5625,45.40625,63.5625,37.0625,5.328125,37.9375,31.5,30.0,7.9921875,28.125,,54.97110366821289,26.3125,55.0,39.375
